Frame,10nia.csv_Upright_Rate,50nia.csv_Upright_Rate,100nia.csv_Upright_Rate,200nia.csv_Upright_Rate
242,0.6,0.48,0.58,0.69
243,0.5,0.48,0.64,0.635
244,0.3,0.5,0.61,0.65
245,0.4,0.42,0.6,0.725
246,0.4,0.44,0.53,0.725
247,0.4,0.58,0.52,0.685
248,0.8,0.5,0.56,0.725
249,0.4,0.52,0.59,0.655
250,0.3,0.5,0.68,0.685
251,0.4,0.54,0.67,0.67
252,0.4,0.46,0.56,0.66
253,0.3,0.46,0.56,0.685
254,0.3,0.46,0.62,0.7
255,0.6,0.4,0.62,0.68
256,0.7,0.5,0.59,0.675
257,0.3,0.52,0.58,0.655
258,0.7,0.56,0.54,0.63
259,0.2,0.42,0.58,0.665
260,0.3,0.44,0.63,0.69
261,0.4,0.4,0.64,0.705
262,0.2,0.56,0.62,0.685
263,0.2,0.52,0.61,0.675
264,0.3,0.5,0.64,0.655
265,0.7,0.58,0.64,0.62
266,0.4,0.46,0.64,0.675
267,0.3,0.54,0.54,0.64
268,0.6,0.6,0.65,0.715
269,0.6,0.6,0.56,0.71
270,0.4,0.68,0.53,0.685
271,0.7,0.66,0.61,0.7
272,0.5,0.58,0.62,0.66
273,0.7,0.54,0.54,0.72
274,0.8,0.64,0.59,0.645
275,0.9,0.62,0.57,0.64
276,0.5,0.7,0.59,0.645
277,0.6,0.6,0.63,0.605
278,0.5,0.52,0.6,0.69
279,0.5,0.46,0.62,0.59
280,0.7,0.6,0.65,0.605
281,0.5,0.44,0.69,0.595
282,0.5,0.54,0.64,0.685
283,0.7,0.52,0.59,0.655
284,0.6,0.54,0.64,0.65
285,0.3,0.54,0.65,0.66
286,0.5,0.54,0.63,0.64
287,0.5,0.5,0.7,0.665
288,0.7,0.56,0.61,0.61
289,0.5,0.54,0.53,0.66
290,0.6,0.58,0.62,0.695
291,0.3,0.42,0.57,0.655
292,0.7,0.48,0.57,0.62
293,0.6,0.5,0.6,0.585
294,0.2,0.56,0.66,0.615
295,0.3,0.54,0.62,0.605
296,0.4,0.56,0.54,0.67
297,0.5,0.54,0.65,0.6
298,0.5,0.54,0.65,0.665
299,0.6,0.54,0.52,0.64
300,0.6,0.48,0.6,0.585
301,0.6,0.52,0.67,0.655
302,0.5,0.62,0.54,0.615
303,0.5,0.64,0.61,0.61
304,0.5,0.64,0.61,0.645
305,0.5,0.66,0.53,0.63
306,0.5,0.66,0.54,0.575
307,0.7,0.68,0.59,0.605
308,0.5,0.56,0.59,0.61
309,0.4,0.64,0.59,0.615
310,0.2,0.6,0.61,0.665
311,0.1,0.54,0.61,0.615
312,0.2,0.56,0.6,0.655
313,0.2,0.44,0.56,0.645
314,0.4,0.56,0.53,0.645
315,0.1,0.56,0.71,0.645
316,0.4,0.52,0.65,0.67
317,0.5,0.54,0.68,0.665
318,0.5,0.5,0.6,0.64
319,0.3,0.54,0.7,0.67
320,0.3,0.54,0.64,0.695
321,0.5,0.5,0.7,0.675
322,0.3,0.52,0.62,0.645
323,0.2,0.52,0.67,0.625
324,0.2,0.6,0.72,0.685
325,0.2,0.58,0.64,0.645
326,0.5,0.6,0.67,0.63
327,0.3,0.5,0.64,0.695
328,0.3,0.54,0.61,0.63
329,0.3,0.48,0.63,0.675
330,0.3,0.54,0.62,0.685
331,0.3,0.52,0.66,0.665
332,0.2,0.6,0.6,0.645
333,0.4,0.6,0.65,0.655
334,0.5,0.46,0.66,0.65
335,0.4,0.52,0.63,0.635
336,0.5,0.52,0.72,0.64
337,0.5,0.56,0.65,0.655
338,0.4,0.5,0.65,0.625
339,0.3,0.48,0.63,0.65
340,0.3,0.48,0.65,0.615
341,0.2,0.52,0.65,0.68
342,0.2,0.56,0.58,0.755
343,0.3,0.54,0.66,0.745
344,0.3,0.44,0.66,0.635
345,0.1,0.52,0.57,0.74
