Frame,10sds.csv_Upright_Rate,50sds.csv_Upright_Rate,100sds.csv_Upright_Rate,200sds.csv_Upright_Rate
279,0.0,0.34,0.58,0.68
280,0.0,0.32,0.54,0.6
281,0.0,0.36,0.57,0.655
282,0.0,0.36,0.51,0.655
283,0.0,0.38,0.53,0.61
284,0.1,0.32,0.52,0.645
285,0.0,0.36,0.55,0.675
286,0.0,0.28,0.58,0.58
287,0.1,0.24,0.6,0.585
288,0.0,0.4,0.59,0.635
289,0.0,0.34,0.58,0.61
290,0.0,0.32,0.56,0.635
291,0.0,0.36,0.56,0.595
292,0.0,0.3,0.51,0.615
293,0.0,0.4,0.47,0.58
294,0.0,0.46,0.45,0.605
295,0.0,0.42,0.49,0.645
296,0.2,0.46,0.5,0.615
297,0.1,0.46,0.53,0.575
298,0.3,0.48,0.53,0.61
299,0.2,0.46,0.47,0.555
300,0.2,0.44,0.5,0.61
301,0.0,0.46,0.46,0.725
302,0.1,0.4,0.48,0.625
303,0.0,0.42,0.64,0.645
304,0.0,0.52,0.54,0.65
305,0.0,0.44,0.5,0.615
306,0.0,0.5,0.57,0.65
307,0.0,0.5,0.57,0.635
308,0.0,0.4,0.6,0.595
309,0.0,0.36,0.55,0.64
310,0.0,0.3,0.56,0.575
311,0.0,0.34,0.56,0.65
312,0.0,0.32,0.56,0.645
313,0.0,0.4,0.55,0.64
314,0.0,0.36,0.52,0.635
315,0.0,0.3,0.56,0.665
316,0.0,0.26,0.53,0.665
317,0.0,0.26,0.53,0.655
318,0.0,0.38,0.5,0.665
319,0.0,0.36,0.42,0.655
320,0.1,0.34,0.42,0.65
321,0.0,0.42,0.4,0.64
322,0.0,0.32,0.44,0.655
323,0.0,0.28,0.44,0.65
324,0.0,0.3,0.41,0.62
325,0.0,0.38,0.5,0.545
326,0.0,0.44,0.44,0.61
327,0.0,0.38,0.4,0.61
328,0.0,0.42,0.46,0.645
329,0.0,0.34,0.48,0.625
330,0.0,0.34,0.51,0.605
331,0.0,0.38,0.45,0.59
332,0.0,0.34,0.54,0.61
333,0.0,0.44,0.45,0.68
334,0.0,0.44,0.45,0.56
335,0.0,0.42,0.46,0.635
336,0.1,0.36,0.44,0.615
337,0.0,0.42,0.49,0.69
338,0.0,0.44,0.42,0.665
339,0.0,0.36,0.5,0.665
340,0.0,0.28,0.5,0.675
341,0.0,0.28,0.45,0.63
342,0.0,0.34,0.49,0.665
343,0.0,0.42,0.46,0.66
344,0.0,0.4,0.56,0.665
345,0.0,0.3,0.54,0.6
346,0.0,0.34,0.54,0.695
347,0.0,0.34,0.44,0.665
348,0.0,0.42,0.48,0.635
349,0.0,0.34,0.49,0.645
350,0.0,0.3,0.49,0.66
351,0.0,0.4,0.57,0.6
352,0.1,0.3,0.58,0.695
353,0.0,0.4,0.48,0.585
354,0.0,0.4,0.49,0.65
355,0.0,0.36,0.55,0.625
356,0.0,0.4,0.55,0.64
357,0.0,0.44,0.59,0.63
358,0.0,0.42,0.57,0.705
359,0.1,0.34,0.55,0.63
360,0.0,0.4,0.56,0.555
361,0.0,0.44,0.51,0.61
362,0.0,0.38,0.61,0.705
363,0.0,0.42,0.53,0.605
364,0.4,0.4,0.57,0.645
365,0.2,0.44,0.62,0.63
366,0.2,0.44,0.64,0.63
367,0.1,0.4,0.57,0.645
368,0.0,0.32,0.64,0.625
369,0.1,0.34,0.59,0.65
370,0.1,0.34,0.63,0.615
371,0.0,0.32,0.57,0.61
372,0.0,0.28,0.59,0.635
373,0.0,0.24,0.6,0.565
374,0.0,0.3,0.49,0.635
375,0.0,0.32,0.46,0.61
376,0.2,0.34,0.54,0.615
377,0.2,0.38,0.46,0.665
378,0.0,0.34,0.53,0.675
379,0.0,0.34,0.51,0.675
380,0.0,0.3,0.5,0.605
381,0.0,0.34,0.51,0.625
382,0.1,0.34,0.42,0.68
383,0.1,0.38,0.44,0.61
384,0.0,0.32,0.53,0.675
385,0.0,0.42,0.46,0.7
386,0.0,0.44,0.46,0.65
387,0.0,0.42,0.5,0.65
388,0.1,0.34,0.49,0.66
389,0.2,0.34,0.57,0.63
390,0.1,0.38,0.5,0.675
391,0.1,0.46,0.41,0.65
392,0.1,0.34,0.47,0.645
393,0.0,0.42,0.48,0.695
394,0.1,0.36,0.5,0.67
395,0.0,0.32,0.45,0.665
396,0.1,0.32,0.47,0.64
397,0.1,0.38,0.43,0.635
398,0.1,0.36,0.39,0.665
399,0.0,0.36,0.45,0.605
400,0.1,0.4,0.49,0.61
401,0.0,0.42,0.46,0.61
402,0.0,0.38,0.5,0.67
403,0.0,0.36,0.49,0.595
404,0.0,0.38,0.44,0.6
405,0.0,0.38,0.43,0.555
406,0.1,0.42,0.48,0.65
407,0.0,0.3,0.4,0.585
408,0.0,0.34,0.51,0.63
409,0.0,0.38,0.5,0.675
410,0.0,0.44,0.48,0.595
411,0.1,0.42,0.54,0.69
412,0.0,0.34,0.51,0.665
413,0.0,0.36,0.51,0.595
414,0.0,0.34,0.56,0.665
415,0.0,0.34,0.5,0.675
416,0.0,0.26,0.49,0.585
417,0.0,0.3,0.48,0.59
418,0.0,0.24,0.48,0.645
419,0.0,0.26,0.49,0.61
420,0.2,0.3,0.49,0.66
421,0.2,0.36,0.53,0.685
422,0.0,0.42,0.56,0.71
423,0.1,0.34,0.61,0.65
424,0.0,0.5,0.58,0.605
425,0.0,0.42,0.58,0.67
426,0.0,0.42,0.63,0.67
427,0.1,0.42,0.6,0.61
428,0.0,0.34,0.6,0.63
429,0.0,0.4,0.59,0.635
430,0.1,0.32,0.59,0.605
431,0.2,0.36,0.56,0.655
432,0.4,0.32,0.59,0.65
433,0.3,0.4,0.53,0.635
434,0.0,0.42,0.62,0.61
435,0.0,0.42,0.62,0.635
436,0.1,0.42,0.58,0.735
437,0.7,0.42,0.57,0.645
438,0.4,0.38,0.56,0.62
439,0.1,0.36,0.58,0.67
440,0.0,0.3,0.55,0.69
441,0.0,0.38,0.57,0.645
442,0.0,0.46,0.55,0.64
443,0.0,0.42,0.5,0.655
444,0.0,0.34,0.55,0.66
